iter	Passed	Remaining
0	155	155489
1	157	78780
2	160	53287
3	164	41003
4	166	33112
5	167	27818
6	169	24040
7	171	21210
8	172	19004
9	174	17232
10	175	15781
11	177	14575
12	178	13550
13	179	12653
14	180	11878
15	182	11198
16	183	10583
17	183	10032
18	184	9539
19	185	9095
20	186	8693
21	187	8320
22	187	7977
23	188	7662
24	189	7371
25	189	7103
26	190	6857
27	190	6626
28	191	6411
29	192	6211
30	192	6024
31	193	5849
32	194	5684
33	194	5534
34	195	5390
35	196	5253
36	196	5122
37	197	4998
38	198	4880
39	198	4769
40	199	4662
41	199	4561
42	200	4465
43	201	4373
44	201	4285
45	202	4201
46	203	4120
47	203	4043
48	204	3969
49	205	3898
50	205	3829
51	206	3763
52	207	3700
53	207	3639
54	208	3582
55	209	3526
56	209	3471
57	210	3418
58	211	3367
59	211	3318
60	212	3270
61	213	3223
62	213	3177
63	214	3134
64	214	3091
65	215	3050
66	216	3009
67	216	2966
68	217	2928
69	217	2892
70	218	2856
71	218	2821
72	219	2788
73	220	2755
74	220	2722
75	221	2692
76	222	2662
77	222	2632
78	223	2604
79	223	2575
80	224	2548
81	225	2521
82	225	2494
83	226	2469
84	226	2442
85	227	2417
86	227	2392
87	228	2368
88	229	2345
89	229	2323
90	230	2301
91	230	2279
92	231	2258
93	232	2238
94	232	2217
95	233	2198
96	234	2178
97	234	2160
98	235	2141
99	236	2124
100	236	2106
101	236	2086
102	237	2069
103	238	2052
104	238	2035
105	239	2019
106	240	2003
107	240	1987
108	241	1971
109	241	1956
110	242	1941
111	243	1927
112	243	1912
113	244	1898
114	244	1884
115	245	1869
116	246	1857
117	246	1843
118	247	1829
119	247	1816
120	248	1804
121	249	1792
122	249	1778
123	250	1766
124	250	1754
125	251	1743
126	251	1731
127	252	1719
128	253	1708
129	253	1697
130	254	1686
131	254	1676
132	255	1665
133	256	1655
134	256	1645
135	257	1635
136	257	1624
137	258	1614
138	259	1604
139	259	1595
140	260	1586
141	260	1576
142	261	1567
143	262	1558
144	262	1550
145	263	1541
146	264	1533
147	264	1525
148	265	1516
149	266	1507
150	266	1499
151	267	1491
152	267	1483
153	268	1475
154	269	1467
155	269	1459
156	270	1451
157	271	1444
158	271	1436
159	272	1429
160	272	1421
161	273	1414
162	274	1407
163	274	1400
164	275	1393
165	275	1386
166	276	1379
167	277	1372
168	277	1366
169	278	1360
170	279	1354
171	280	1348
172	280	1342
173	281	1336
174	282	1330
175	282	1324
176	283	1318
177	284	1312
178	284	1307
179	285	1300
180	285	1293
181	286	1287
182	287	1281
183	287	1275
184	288	1270
185	288	1264
186	289	1258
187	290	1252
188	290	1247
189	291	1242
190	292	1237
191	292	1231
192	293	1226
193	293	1221
194	294	1216
195	295	1211
196	295	1206
197	296	1200
198	297	1195
199	297	1190
200	298	1185
201	298	1180
202	299	1176
203	300	1171
204	300	1166
205	301	1161
206	301	1156
207	302	1151
208	303	1147
209	303	1142
210	304	1137
211	304	1133
212	305	1129
213	306	1124
214	306	1119
215	307	1115
216	307	1111
217	308	1106
218	309	1102
219	309	1098
220	310	1093
221	310	1089
222	311	1085
223	312	1081
224	312	1077
225	313	1073
226	314	1069
227	314	1065
228	315	1061
229	315	1057
230	316	1053
231	317	1049
232	317	1045
233	318	1041
234	318	1038
235	319	1034
236	320	1030
237	320	1026
238	321	1023
239	321	1019
240	322	1015
241	323	1012
242	323	1008
243	324	1004
244	324	1001
245	325	997
246	326	994
247	326	990
248	327	987
249	327	983
250	328	980
251	329	976
252	329	973
253	330	970
254	330	966
255	331	963
256	332	960
257	333	958
258	333	955
259	334	951
260	335	948
261	335	945
262	336	942
263	336	939
264	337	935
265	338	932
266	338	929
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	911
273	342	908
274	343	905
275	344	902
276	344	899
277	345	896
278	345	893
279	346	891
280	347	888
281	347	885
282	348	882
283	349	880
284	349	877
285	350	874
286	350	871
287	351	869
288	352	866
289	352	863
290	353	860
291	353	858
292	354	855
293	355	853
294	355	850
295	356	847
296	357	845
297	357	842
298	358	840
299	358	837
300	359	835
301	360	832
302	361	830
303	361	828
304	362	825
305	362	822
306	363	820
307	364	818
308	364	815
309	365	813
310	365	810
311	366	808
312	367	805
313	367	803
314	368	801
315	368	798
316	369	796
317	370	793
318	370	791
319	371	789
320	371	786
321	372	784
322	373	782
323	373	779
324	374	777
325	374	775
326	375	773
327	376	770
328	377	768
329	377	766
330	378	764
331	378	762
332	379	759
333	380	757
334	380	755
335	381	753
336	381	751
337	382	748
338	382	746
339	383	744
340	384	742
341	384	740
342	385	738
343	386	736
344	386	734
345	387	732
346	387	729
347	388	727
348	389	725
349	390	724
350	390	722
351	391	720
352	392	719
353	393	718
354	394	716
355	395	715
356	396	714
357	397	712
358	398	710
359	398	709
360	399	707
361	400	705
362	401	703
363	401	701
364	402	700
365	403	699
366	404	697
367	405	696
368	406	694
369	406	692
370	407	690
371	408	689
372	409	687
373	410	686
374	410	684
375	411	682
376	411	680
377	412	678
378	413	677
379	413	675
380	414	673
381	415	671
382	415	669
383	416	667
384	416	666
385	417	664
386	418	662
387	418	660
388	419	658
389	420	657
390	420	655
391	421	653
392	422	651
393	422	650
394	423	648
395	423	646
396	424	644
397	424	642
398	425	641
399	426	639
400	426	637
401	427	635
402	428	634
403	428	632
404	429	630
405	429	628
406	430	627
407	431	625
408	431	623
409	432	622
410	433	620
411	433	618
412	434	617
413	435	615
414	435	614
415	436	612
416	436	610
417	437	609
418	438	607
419	438	605
420	439	604
421	439	602
422	440	600
423	441	599
424	441	597
425	442	596
426	442	594
427	443	592
428	444	591
429	444	589
430	445	588
431	446	586
432	446	584
433	447	583
434	447	581
435	448	580
436	449	578
437	449	576
438	450	575
439	450	573
440	451	572
441	452	570
442	452	569
443	453	567
444	453	566
445	454	564
446	455	563
447	455	561
448	456	560
449	457	558
450	457	557
451	458	555
452	459	554
453	459	552
454	460	551
455	460	549
456	461	548
457	462	546
458	462	545
459	463	543
460	463	542
461	464	540
462	465	539
463	465	538
464	466	536
465	467	535
466	467	533
467	468	532
468	468	530
469	469	529
470	470	527
471	470	526
472	471	525
473	471	523
474	472	522
475	473	520
476	473	519
477	474	518
478	474	516
479	475	515
480	476	513
481	476	512
482	477	510
483	477	509
484	478	508
485	479	506
486	479	505
487	480	504
488	481	502
489	481	501
490	482	500
491	483	498
492	483	497
493	484	496
494	484	494
495	485	493
496	486	492
497	486	490
498	487	489
499	488	488
500	488	486
501	489	485
502	489	484
503	490	482
504	491	481
505	491	480
506	492	478
507	493	477
508	493	476
509	494	474
510	494	473
511	495	472
512	496	470
513	496	469
514	497	468
515	497	467
516	498	465
517	499	464
518	499	463
519	500	461
520	501	460
521	502	459
522	503	459
523	504	458
524	505	457
525	506	456
526	507	455
527	509	455
528	510	454
529	511	453
530	512	452
531	512	451
532	513	450
533	514	449
534	516	448
535	517	448
536	519	447
537	520	447
538	521	446
539	522	445
540	523	444
541	524	443
542	525	442
543	526	441
544	526	439
545	527	438
546	528	437
547	529	436
548	530	435
549	531	434
550	532	433
551	533	433
552	534	432
553	536	431
554	537	431
555	538	429
556	538	428
557	539	427
558	540	426
559	540	424
560	541	423
561	542	422
562	542	421
563	543	420
564	544	418
565	544	417
566	545	416
567	545	415
568	546	413
569	547	412
570	547	411
571	548	410
572	549	409
573	550	408
574	551	407
575	551	406
576	552	405
577	553	403
578	553	402
579	554	401
580	555	400
581	555	399
582	556	397
583	556	396
584	557	395
585	558	394
586	558	393
587	559	391
588	560	390
589	560	389
590	561	388
591	561	387
592	562	386
593	563	384
594	563	383
595	564	382
596	565	381
597	565	380
598	566	379
599	567	378
600	568	377
601	568	376
602	573	377
603	573	376
604	574	375
605	575	373
606	575	372
607	576	371
608	576	370
609	577	369
610	578	368
611	578	366
612	579	365
613	579	364
614	580	363
615	581	362
616	581	361
617	582	360
618	583	358
619	583	357
620	584	356
621	585	355
622	586	354
623	587	353
624	587	352
625	588	351
626	588	350
627	589	349
628	590	348
629	590	346
630	591	345
631	591	344
632	592	343
633	593	342
634	593	341
635	594	340
636	595	339
637	595	337
638	596	336
639	596	335
640	597	334
641	598	333
642	598	332
643	599	331
644	599	330
645	600	329
646	601	327
647	601	326
648	602	325
649	602	324
650	603	323
651	604	322
652	604	321
653	605	320
654	606	319
655	606	318
656	607	317
657	607	315
658	608	314
659	609	313
660	609	312
661	610	311
662	611	310
663	611	309
664	612	308
665	613	307
666	613	306
667	614	305
668	614	304
669	615	303
670	616	302
671	616	301
672	617	299
673	617	298
674	618	297
675	619	296
676	619	295
677	620	294
678	621	293
679	621	292
680	622	291
681	622	290
682	623	289
683	624	288
684	624	287
685	625	286
686	625	285
687	626	284
688	627	283
689	628	282
690	628	281
691	629	280
692	629	279
693	630	278
694	631	277
695	631	275
696	632	274
697	633	273
698	633	272
699	634	271
700	635	270
701	635	269
702	636	268
703	636	267
704	637	266
705	637	265
706	638	264
707	639	263
708	639	262
709	640	261
710	641	260
711	641	259
712	642	258
713	643	257
714	643	256
715	644	255
716	644	254
717	645	253
718	646	252
719	646	251
720	647	250
721	647	249
722	648	248
723	649	247
724	649	246
725	650	245
726	651	244
727	651	243
728	652	242
729	653	241
730	653	240
731	654	239
732	654	238
733	655	237
734	656	236
735	656	235
736	657	234
737	657	233
738	658	232
739	659	231
740	659	230
741	660	229
742	661	228
743	661	227
744	662	226
745	663	225
746	663	224
747	664	223
748	664	222
749	665	221
750	666	220
751	666	219
752	667	218
753	667	217
754	668	216
755	669	215
756	670	215
757	671	214
758	671	213
759	672	212
760	672	211
761	673	210
762	674	209
763	674	208
764	675	207
765	676	206
766	676	205
767	677	204
768	677	203
769	678	202
770	679	201
771	679	200
772	680	199
773	680	198
774	681	197
775	682	196
776	682	195
777	683	195
778	684	194
779	684	193
780	685	192
781	686	191
782	686	190
783	687	189
784	688	188
785	688	187
786	689	186
787	689	185
788	690	184
789	691	183
790	691	182
791	692	181
792	692	180
793	693	179
794	694	178
795	694	178
796	695	177
797	695	176
798	696	175
799	697	174
800	697	173
